State,"REAGAN, RONALD","ANDERSON, JOHN B","BUSH, GEORGE","CARTER, JIMMY","KENNEDY, EDWARD M.","CONNALLY, JOHN B.","BAKER, HOWARD H JR SENATOR","CRANE, PHILIP M.","BROWN, EDMUND G. JR.","CLARK, EDWARD E"
CA,"$2,397,700.00 ","$362,201.00 ","$517,345.00 ","$1,067,532.00 ","$658,185.00 ","$955,018.00 ","$185,368.00 ","$60,995.00 ","$1,031,972.00 ","$48,897.00 "
TX,"$738,871.00 ","$50,040.00 ","$1,222,508.00 ","$629,590.00 ","$62,325.00 ","$3,528,339.00 ","$50,355.00 ","$71,280.00 ","$11,350.00 ","$7,510.00 "
NY,"$489,944.00 ","$479,403.00 ","$1,027,691.00 ","$1,100,231.00 ","$602,522.00 ","$468,881.00 ","$213,618.00 ","$24,951.00 ","$33,991.00 ","$12,018.00 "
FL,"$402,664.00 ","$54,967.00 ","$449,905.00 ","$1,214,919.00 ","$213,082.00 ","$464,344.00 ","$66,325.00 ","$59,618.00 ","$6,235.00 ","$2,820.00 "
IL,"$321,847.00 ","$415,764.00 ","$507,927.00 ","$381,820.00 ","$411,401.00 ","$294,153.00 ","$132,567.00 ","$218,642.00 ","$11,625.00 ","$14,605.00 "
NJ,"$318,534.00 ","$103,145.00 ","$180,485.00 ","$469,460.00 ","$112,310.00 ","$100,025.00 ","$20,750.00 ","$8,007.00 ","$8,925.00 ","$3,900.00 "
MI,"$294,476.00 ","$27,150.00 ","$155,250.00 ","$83,385.00 ","$64,515.00 ","$201,925.00 ","$62,735.00 ","$30,805.00 ","$4,000.00 ","$2,164.00 "
PA,"$219,008.00 ","$59,210.00 ","$219,565.00 ","$318,121.00 ","$129,760.00 ","$113,475.00 ","$39,495.00 ","$15,624.00 ","$6,200.00 ","$1,000.00 "
OH,"$213,304.00 ","$28,054.00 ","$229,881.00 ","$589,883.00 ","$102,091.00 ","$156,245.00 ","$36,478.00 ","$23,175.00 ","$1,500.00 ","$3,750.00 "
OK,"$173,757.00 ","$2,750.00 ","$95,000.00 ","$115,900.00 ","$19,980.00 ","$251,810.00 ","$28,300.00 ","$7,530.00 ","$4,150.00 ","$3,300.00 "
AZ,"$151,025.00 ","$24,763.00 ","$34,510.00 ","$65,624.00 ","$30,000.00 ","$134,850.00 ","$6,370.00 ","$17,925.00 ","$7,635.00 ","$1,500.00 "
MA,"$129,544.00 ","$199,474.00 ","$326,125.00 ","$287,000.00 ","$622,388.00 ","$47,101.00 ","$16,074.00 ","$17,325.00 ","$5,537.00 ","$2,250.00 "
IN,"$115,310.00 ","$6,265.00 ","$82,950.00 ","$93,750.00 ","$23,670.00 ","$29,147.00 ","$76,250.00 ","$21,185.00 ",$500.00 ,$500.00 
CT,"$110,920.00 ","$160,630.00 ","$541,193.00 ","$301,250.00 ","$79,602.00 ","$182,950.00 ","$24,100.00 ","$13,030.00 ","$4,775.00 ","$1,750.00 "
VA,"$95,885.00 ","$26,604.00 ","$100,175.00 ","$215,422.00 ","$78,660.00 ","$78,939.00 ","$24,206.00 ","$13,638.00 ","$3,455.00 ","$3,492.00 "
TN,"$94,675.00 ","$2,750.00 ","$33,700.00 ","$177,575.00 ","$33,100.00 ","$67,425.00 ","$1,031,392.00 ","$5,210.00 ","$2,750.00 ",$250.00 
DC,"$90,259.00 ","$64,336.00 ","$156,244.00 ","$425,336.00 ","$199,771.00 ","$52,675.00 ","$40,095.00 ","$2,400.00 ","$3,875.00 ","$4,871.00 "
NV,"$88,490.00 ",$225.00 ,"$6,875.00 ","$81,350.00 ","$18,675.00 ","$11,500.00 ","$20,400.00 ","$3,350.00 ","$7,925.00 ","$3,922.00 "
MO,"$86,854.00 ","$12,250.00 ","$136,370.00 ","$267,013.00 ","$72,918.00 ","$67,462.00 ","$29,100.00 ","$18,950.00 ","$1,000.00 ",$500.00 
GA,"$77,925.00 ","$4,650.00 ","$88,383.00 ","$674,943.00 ","$12,346.00 ","$182,946.00 ","$13,125.00 ","$13,322.00 ","$8,650.00 ","$1,300.00 "
CO,"$71,475.00 ","$12,550.00 ","$96,100.00 ","$61,286.00 ","$17,600.00 ","$156,125.00 ","$10,375.00 ","$4,600.00 ",$750.00 ,"$1,750.00 "
LA,"$71,040.00 ","$7,600.00 ","$40,324.00 ","$285,644.00 ","$19,298.00 ","$83,000.00 ","$6,750.00 ","$5,150.00 ","$1,250.00 ","$1,750.00 "
MS,"$60,235.00 ","$1,000.00 ","$34,725.00 ","$152,403.00 ","$7,850.00 ","$13,250.00 ","$11,600.00 ","$4,225.00 ",$0.00 ,$0.00 
