State,"MONDALE, WALTER F","REAGAN, RONALD","HART, GARY W","GLENN, JOHN","JACKSON, JESSE L","CRANSTON, ALAN","LAROUCHE, LYNDON HERMYLE JR","ASKEW, REUBIN O'D","HOLLINGS, ERNEST F","MCGOVERN, GEORGE STANLEY"
NY,"$1,708,550.00 ","$523,747.00 ","$420,028.00 ","$309,100.00 ","$94,761.00 ","$381,336.00 ","$64,265.00 ","$14,750.00 ","$123,791.00 ","$24,500.00 "
CA,"$1,346,533.00 ","$1,519,914.00 ","$582,687.00 ","$284,891.00 ","$159,487.00 ","$1,026,381.00 ","$210,530.00 ","$8,500.00 ","$16,500.00 ","$42,700.00 "
TX,"$620,575.00 ","$902,087.00 ","$173,849.00 ","$711,795.00 ","$32,013.00 ","$38,250.00 ","$66,025.00 ","$7,000.00 ","$29,500.00 ","$1,000.00 "
FL,"$558,058.00 ","$390,525.00 ","$152,147.00 ","$161,900.00 ","$16,225.00 ","$27,100.00 ","$29,150.00 ","$899,468.00 ","$26,740.00 ","$4,000.00 "
MN,"$485,820.00 ","$47,500.00 ","$8,700.00 ","$48,800.00 ","$1,000.00 ","$12,900.00 ","$8,265.00 ","$2,000.00 ","$1,500.00 ","$2,250.00 "
IL,"$479,930.00 ","$319,925.00 ","$127,583.00 ","$152,395.00 ","$53,925.00 ","$33,500.00 ","$20,325.00 ","$5,000.00 ","$15,000.00 ","$4,000.00 "
NJ,"$433,853.00 ","$197,365.00 ","$74,930.00 ","$95,000.00 ","$9,450.00 ","$27,000.00 ","$42,750.00 ","$1,500.00 ","$17,067.00 ","$3,500.00 "
DC,"$431,605.00 ","$65,750.00 ","$105,536.00 ","$73,850.00 ","$53,100.00 ","$50,000.00 ","$1,758.00 ","$5,632.00 ","$38,900.00 ","$6,000.00 "
OT,"$357,716.00 ","$10,500.00 ","$116,258.00 ","$42,000.00 ","$2,000.00 ","$3,000.00 ",$0.00 ,$0.00 ,$500.00 ,$0.00 
PA,"$338,622.00 ","$200,500.00 ","$84,550.00 ","$73,750.00 ","$23,421.00 ","$15,350.00 ","$37,800.00 ","$1,000.00 ","$1,000.00 ",$0.00 
MD,"$298,550.00 ","$72,045.00 ","$45,750.00 ","$73,900.00 ","$24,184.00 ","$54,100.00 ","$11,900.00 ","$2,452.00 ","$19,000.00 ","$3,500.00 "
MA,"$289,550.00 ","$146,000.00 ","$50,718.00 ","$302,140.00 ","$22,698.00 ","$26,375.00 ","$40,350.00 ",$500.00 ,"$9,900.00 ","$6,500.00 "
CT,"$217,455.00 ","$157,500.00 ","$51,750.00 ","$112,100.00 ","$1,000.00 ","$17,150.00 ","$9,650.00 ",$750.00 ,"$13,250.00 ","$3,750.00 "
AZ,"$157,607.00 ","$119,975.00 ","$17,138.00 ","$10,500.00 ","$3,300.00 ","$14,750.00 ","$11,600.00 ","$1,500.00 ",$500.00 ,"$1,000.00 "
VA,"$148,467.00 ","$120,335.00 ","$50,100.00 ","$77,350.00 ","$26,039.00 ","$26,000.00 ","$14,950.00 ","$2,250.00 ","$13,100.00 ","$1,000.00 "
OH,"$138,176.00 ","$227,065.00 ","$59,550.00 ","$825,246.00 ","$54,025.00 ","$24,750.00 ","$22,075.00 ","$3,300.00 ","$2,750.00 ",$0.00 
MO,"$132,175.00 ","$165,000.00 ","$19,800.00 ","$47,000.00 ","$2,000.00 ","$5,000.00 ","$2,650.00 ",$500.00 ,"$11,750.00 ",$0.00 
NC,"$98,950.00 ","$44,600.00 ","$15,000.00 ","$22,700.00 ","$11,700.00 ","$1,000.00 ","$5,000.00 ",$0.00 ,"$13,950.00 ",$500.00 
GA,"$87,395.00 ","$111,475.00 ","$23,150.00 ","$45,354.00 ","$20,750.00 ","$9,500.00 ","$8,550.00 ","$3,100.00 ","$25,500.00 ",$0.00 
LA,"$87,000.00 ","$81,906.00 ","$55,598.00 ","$69,750.00 ","$19,492.00 ","$1,500.00 ","$14,500.00 ",$500.00 ,"$5,250.00 ","$1,000.00 "
MI,"$86,270.00 ","$168,336.00 ","$21,139.00 ","$16,500.00 ","$19,150.00 ","$10,500.00 ","$15,670.00 ",$500.00 ,"$1,000.00 ","$1,500.00 "
TN,"$66,900.00 ","$64,050.00 ","$5,750.00 ","$135,750.00 ","$4,000.00 ","$6,500.00 ","$4,800.00 ","$4,152.00 ","$1,500.00 ",$0.00 
AL,"$45,738.00 ","$79,800.00 ","$17,500.00 ","$107,750.00 ","$5,324.00 ","$2,800.00 ","$6,500.00 ","$1,000.00 ","$9,250.00 ",$0.00 
WA,"$42,850.00 ","$67,150.00 ","$11,050.00 ","$4,500.00 ","$1,000.00 ","$4,500.00 ","$28,808.00 ",$0.00 ,"$2,500.00 ","$1,000.00 "
RI,"$42,000.00 ","$12,000.00 ","$7,500.00 ","$14,000.00 ",$0.00 ,"$5,800.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
WI,"$41,700.00 ","$44,750.00 ","$4,500.00 ","$5,000.00 ","$9,800.00 ","$12,500.00 ","$5,900.00 ",$0.00 ,"$1,500.00 ",$0.00 
