State,"BUSH, GEORGE","DUKAKIS, MICHAEL S","ROBERTSON, MARION GORDON (PAT)","JACKSON, JESSE LOUIS","DOLE, ROBERT J","KEMP, JACK","GORE, ALBERT JR","SIMON, PAUL","GEPHARDT, RICHARD A","DU PONT, PETE"
NY,"$2,401,160.00 ","$2,326,302.00 ","$37,475.00 ","$299,701.00 ","$1,784,929.00 ","$770,950.00 ","$741,988.00 ","$361,100.00 ","$372,419.00 ","$512,575.00 "
TX,"$2,289,512.00 ","$373,472.00 ","$495,364.00 ","$96,804.00 ","$389,370.00 ","$87,855.00 ","$426,645.00 ","$67,250.00 ","$414,651.00 ","$143,450.00 "
CA,"$2,240,715.00 ","$1,938,055.00 ","$410,377.00 ","$532,412.00 ","$1,536,958.00 ","$453,297.00 ","$341,915.00 ","$272,660.00 ","$281,750.00 ","$256,650.00 "
FL,"$2,120,681.00 ","$718,533.00 ","$201,274.00 ","$39,104.00 ","$628,629.00 ","$206,500.00 ","$213,740.00 ","$67,885.00 ","$446,183.00 ","$169,225.00 "
OH,"$1,023,950.00 ","$366,005.00 ","$39,767.00 ","$56,214.00 ","$320,475.00 ","$43,755.00 ","$76,400.00 ","$55,450.00 ","$49,000.00 ","$70,550.00 "
CT,"$877,099.00 ","$279,142.00 ","$9,350.00 ","$19,400.00 ","$377,610.00 ","$102,005.00 ","$171,982.00 ","$37,000.00 ","$39,500.00 ","$128,725.00 "
IL,"$849,690.00 ","$237,835.00 ","$66,035.00 ","$105,890.00 ","$421,000.00 ","$172,515.00 ","$92,750.00 ","$1,000,375.00 ","$165,000.00 ","$107,800.00 "
NJ,"$807,950.00 ","$700,115.00 ","$16,600.00 ","$67,263.00 ","$767,110.00 ","$321,950.00 ","$100,665.00 ","$49,750.00 ","$82,750.00 ","$134,450.00 "
MI,"$713,550.00 ","$149,450.00 ","$18,300.00 ","$56,311.00 ","$174,452.00 ","$164,250.00 ","$22,700.00 ","$23,250.00 ","$69,969.00 ","$43,000.00 "
PA,"$614,190.00 ","$279,050.00 ","$75,620.00 ","$51,700.00 ","$376,870.00 ","$140,650.00 ","$34,608.00 ","$47,810.00 ","$63,950.00 ","$457,118.00 "
DC,"$513,716.00 ","$431,376.00 ","$6,500.00 ","$122,275.00 ","$207,485.00 ","$28,000.00 ","$196,256.00 ","$63,515.00 ","$143,310.00 ","$70,900.00 "
MD,"$501,650.00 ","$359,089.00 ","$19,799.00 ","$42,305.00 ","$241,516.00 ","$61,175.00 ","$135,250.00 ","$27,750.00 ","$66,150.00 ","$156,450.00 "
VA,"$468,000.00 ","$269,456.00 ","$94,012.00 ","$60,750.00 ","$224,558.00 ","$119,760.00 ","$93,564.00 ","$41,040.00 ","$86,391.00 ","$55,850.00 "
MA,"$397,945.00 ","$4,828,532.00 ","$10,910.00 ","$57,489.00 ","$391,187.00 ","$97,862.00 ","$50,750.00 ","$30,700.00 ","$63,750.00 ","$128,150.00 "
CO,"$380,315.00 ","$39,500.00 ","$23,087.00 ","$10,662.00 ","$102,165.00 ","$22,500.00 ","$26,750.00 ","$9,400.00 ","$7,000.00 ","$40,250.00 "
AL,"$379,050.00 ","$62,750.00 ","$46,000.00 ","$10,153.00 ","$95,929.00 ","$30,000.00 ","$57,806.00 ","$4,000.00 ","$106,650.00 ","$6,000.00 "
AZ,"$345,200.00 ","$19,750.00 ","$41,200.00 ","$1,000.00 ","$48,315.00 ","$32,005.00 ","$22,000.00 ","$10,500.00 ","$9,500.00 ","$10,900.00 "
TN,"$344,219.00 ","$5,000.00 ","$26,127.00 ","$11,289.00 ","$118,478.00 ","$14,100.00 ","$1,170,354.00 ","$5,000.00 ","$16,000.00 ","$82,250.00 "
GA,"$322,602.00 ","$99,209.00 ","$122,443.00 ","$38,756.00 ","$172,312.00 ","$67,200.00 ","$80,767.00 ","$9,000.00 ","$16,500.00 ","$83,375.00 "
KY,"$316,648.00 ","$16,750.00 ","$9,600.00 ","$15,650.00 ","$51,000.00 ","$5,000.00 ","$37,730.00 ","$2,000.00 ","$33,000.00 ","$6,500.00 "
MO,"$284,306.00 ","$120,200.00 ","$33,709.00 ","$9,000.00 ","$222,290.00 ","$37,300.00 ","$4,500.00 ","$20,035.00 ","$723,536.00 ","$30,000.00 "
WI,"$237,550.00 ","$19,000.00 ","$9,100.00 ","$12,750.00 ","$36,150.00 ","$12,000.00 ","$8,000.00 ","$16,000.00 ","$1,000.00 ","$34,050.00 "
OK,"$221,462.00 ","$8,460.00 ","$66,486.00 ","$4,500.00 ","$55,953.00 ","$17,000.00 ","$21,180.00 ","$5,250.00 ","$39,030.00 ","$12,500.00 "
IN,"$203,975.00 ","$29,658.00 ","$17,950.00 ","$11,950.00 ","$14,900.00 ","$27,500.00 ","$13,050.00 ","$25,800.00 ","$4,000.00 ","$88,750.00 "
OR,"$166,598.00 ","$43,420.00 ","$10,300.00 ","$7,900.00 ","$36,500.00 ","$6,500.00 ",$500.00 ,"$4,000.00 ","$1,000.00 ","$1,000.00 "
LA,"$165,724.00 ","$22,400.00 ","$37,585.00 ","$17,250.00 ","$20,000.00 ","$9,005.00 ","$23,750.00 ","$9,500.00 ","$113,021.00 ","$5,010.00 "
MN,"$162,250.00 ","$78,150.00 ","$14,747.00 ","$17,800.00 ","$65,400.00 ","$31,400.00 ","$5,250.00 ","$29,737.00 ","$11,200.00 ","$29,500.00 "
NC,"$152,500.00 ","$31,558.00 ","$28,440.00 ","$21,075.00 ","$150,412.00 ","$46,600.00 ","$137,050.00 ","$4,500.00 ","$14,350.00 ","$19,500.00 "
ME,"$130,800.00 ","$34,960.00 ","$3,975.00 ","$7,414.00 ","$13,250.00 ","$7,000.00 ","$3,000.00 ","$1,500.00 ","$5,750.00 ","$10,000.00 "
WA,"$117,600.00 ","$35,040.00 ","$18,718.00 ","$9,240.00 ","$82,630.00 ","$29,250.00 ","$14,100.00 ","$11,000.00 ","$4,383.00 ","$4,000.00 "
NH,"$116,785.00 ","$66,228.00 ","$17,100.00 ","$2,000.00 ","$98,501.00 ","$20,800.00 ","$4,250.00 ","$10,691.00 ","$4,515.00 ","$13,000.00 "
SC,"$98,250.00 ","$16,225.00 ","$32,820.00 ","$5,000.00 ","$58,000.00 ","$7,105.00 ","$13,500.00 ","$3,864.00 ","$10,750.00 ","$24,750.00 "
NM,"$95,000.00 ","$8,400.00 ","$3,500.00 ","$4,890.00 ","$4,500.00 ","$3,500.00 ","$15,000.00 ","$2,000.00 ","$17,750.00 ","$2,500.00 "
KS,"$86,750.00 ","$8,069.00 ","$36,000.00 ","$3,500.00 ","$757,612.00 ","$8,000.00 ","$2,250.00 ",$500.00 ,"$17,333.00 ","$7,500.00 "
AR,"$80,000.00 ","$28,500.00 ","$14,010.00 ","$5,000.00 ","$95,800.00 ","$9,975.00 ","$40,904.00 ","$3,300.00 ","$34,500.00 ","$1,000.00 "
MS,"$63,750.00 ","$6,000.00 ","$17,087.00 ","$3,000.00 ","$21,750.00 ","$7,300.00 ","$28,500.00 ","$2,000.00 ","$19,000.00 ","$2,000.00 "
NE,"$50,000.00 ","$18,500.00 ","$2,750.00 ","$1,000.00 ","$49,700.00 ","$3,000.00 ","$2,000.00 ","$2,890.00 ","$3,500.00 ","$87,600.00 "
OT,"$44,801.00 ","$8,500.00 ","$19,588.00 ","$134,487.00 ","$608,155.00 ","$126,193.00 ","$4,000.00 ","$33,500.00 ","$11,000.00 ","$11,500.00 "
DE,"$42,660.00 ","$2,300.00 ","$2,525.00 ","$1,500.00 ","$5,700.00 ","$1,500.00 ","$3,400.00 ","$1,000.00 ","$1,000.00 ","$647,304.00 "
VT,"$30,500.00 ","$10,000.00 ",$500.00 ,"$3,000.00 ","$9,200.00 ","$7,000.00 ","$3,000.00 ","$3,000.00 ","$2,060.00 ","$12,000.00 "
WV,"$23,300.00 ","$1,562.00 ","$15,500.00 ",$0.00 ,"$3,000.00 ",$0.00 ,"$2,000.00 ",$800.00 ,"$3,800.00 ","$5,000.00 "
PR,"$22,250.00 ","$66,500.00 ",$0.00 ,"$2,150.00 ","$35,420.00 ","$66,000.00 ","$17,500.00 ","$2,000.00 ","$17,500.00 ",$0.00 
RI,"$22,250.00 ","$115,212.00 ","$1,500.00 ","$2,500.00 ","$41,900.00 ","$4,600.00 ","$17,000.00 ","$4,250.00 ","$5,000.00 ","$3,000.00 "
IA,"$22,000.00 ","$7,950.00 ","$10,490.00 ","$6,860.00 ","$137,150.00 ","$6,000.00 ","$4,313.00 ","$19,200.00 ","$10,990.00 ","$10,000.00 "
HI,"$19,450.00 ","$6,500.00 ","$4,900.00 ",$600.00 ,"$28,650.00 ","$4,000.00 ","$2,000.00 ","$3,000.00 ",$0.00 ,$0.00 
NV,"$17,250.00 ","$9,600.00 ","$3,400.00 ","$3,000.00 ","$20,250.00 ","$10,000.00 ","$19,000.00 ","$1,000.00 ","$6,000.00 ","$5,500.00 "
ZZ,"$13,150.00 ","$4,500.00 ",$500.00 ,$0.00 ,"$3,500.00 ","$2,000.00 ",$0.00 ,$0.00 ,$0.00 ,"$4,000.00 "
ID,"$10,500.00 ",$744.00 ,"$3,000.00 ",$0.00 ,"$28,450.00 ","$1,500.00 ","$5,753.00 ",$0.00 ,"$10,500.00 ",$500.00 
GU,"$9,250.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
UT,"$9,000.00 ","$3,740.00 ",$0.00 ,"$1,000.00 ","$16,100.00 ","$3,500.00 ","$1,000.00 ",$500.00 ,"$1,500.00 ","$3,750.00 "
AK,"$8,250.00 ","$4,000.00 ","$3,000.00 ",$500.00 ,"$2,000.00 ",$0.00 ,"$7,000.00 ",$500.00 ,"$4,000.00 ",$0.00 
WY,"$8,250.00 ",$0.00 ,"$2,000.00 ",$0.00 ,"$5,500.00 ","$4,500.00 ","$1,490.00 ",$0.00 ,$0.00 ,"$2,000.00 "
SD,"$7,100.00 ","$1,000.00 ","$4,000.00 ","$1,000.00 ","$9,330.00 ","$4,000.00 ","$2,000.00 ","$2,000.00 ","$3,000.00 ",$0.00 
VI,"$2,500.00 ","$5,500.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
ND,"$1,800.00 ",$0.00 ,$0.00 ,$0.00 ,"$5,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
MT,"$1,000.00 ","$2,800.00 ","$2,025.00 ",$0.00 ,"$9,600.00 ","$10,000.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
