State,"CLINTON, WILLIAM JEFFERSON","BUSH, GEORGE","PEROT, ROSS","BUCHANAN, PATRICK J","BROWN, EDMUND G JR","TSONGAS, PAUL E","KERREY, J ROBERT (BOB) SENATOR","HARKIN, TOM","FULANI, LENORA B","LAROUCHE, LYNDON H JR"
NY,"$2,700,607.00 ","$2,658,715.00 ","$116,677.00 ","$93,275.00 ",$0.00 ,"$366,005.00 ","$429,072.00 ","$162,000.00 ","$52,257.00 ","$173,480.00 "
CA,"$2,663,456.00 ","$2,856,209.00 ","$299,998.00 ","$287,199.00 ",$0.00 ,"$304,451.00 ","$480,458.00 ","$148,749.00 ","$56,678.00 ","$306,810.00 "
AR,"$1,981,113.00 ","$189,951.00 ","$20,113.00 ","$3,450.00 ",$0.00 ,"$1,000.00 ",$300.00 ,"$6,650.00 ",$0.00 ,"$22,150.00 "
FL,"$1,097,707.00 ","$2,116,450.00 ","$11,939.00 ","$125,815.00 ",$0.00 ,"$106,075.00 ","$246,684.00 ","$134,850.00 ",$700.00 ,"$93,861.00 "
TX,"$1,089,876.00 ","$2,818,824.00 ","$89,293.00 ","$140,667.00 ",$0.00 ,"$44,400.00 ","$154,000.00 ","$31,650.00 ","$5,850.00 ","$134,850.00 "
NJ,"$957,230.00 ","$718,841.00 ","$20,860.00 ","$64,050.00 ",$0.00 ,"$92,370.00 ","$90,375.00 ","$35,450.00 ","$7,975.00 ","$79,393.00 "
MA,"$874,841.00 ","$700,438.00 ","$37,530.00 ","$30,400.00 ",$0.00 ,"$891,690.00 ","$140,445.00 ","$78,735.00 ","$10,995.00 ","$64,850.00 "
DC,"$774,114.00 ","$577,390.00 ","$3,988.00 ","$22,698.00 ",$0.00 ,"$124,263.00 ","$103,242.00 ","$85,550.00 ","$2,475.00 ","$2,000.00 "
IL,"$690,935.00 ","$1,520,521.00 ","$36,714.00 ","$73,900.00 ",$0.00 ,"$178,890.00 ","$129,400.00 ","$78,550.00 ","$4,700.00 ","$53,200.00 "
MD,"$685,422.00 ","$535,775.00 ","$32,891.00 ","$58,400.00 ",$0.00 ,"$110,525.00 ","$47,209.00 ","$80,070.00 ",$700.00 ,"$52,650.00 "
PA,"$529,717.00 ","$962,231.00 ","$97,950.00 ","$37,700.00 ",$0.00 ,"$64,498.00 ","$45,850.00 ","$103,845.00 ","$4,650.00 ","$104,602.00 "
VA,"$509,799.00 ","$874,178.00 ","$74,165.00 ","$71,495.00 ",$0.00 ,"$66,681.00 ","$52,650.00 ","$49,099.00 ","$1,000.00 ","$36,955.00 "
TN,"$506,655.00 ","$419,455.00 ","$16,602.00 ","$22,540.00 ",$0.00 ,"$5,550.00 ","$15,900.00 ","$10,100.00 ",$0.00 ,"$24,300.00 "
CT,"$437,100.00 ","$846,602.00 ","$31,589.00 ","$30,200.00 ",$0.00 ,"$74,350.00 ","$34,550.00 ","$26,000.00 ","$3,550.00 ","$33,850.00 "
OH,"$269,647.00 ","$699,265.00 ","$30,618.00 ","$45,350.00 ",$0.00 ,"$34,700.00 ","$63,375.00 ","$22,800.00 ","$1,650.00 ","$109,801.00 "
GA,"$261,654.00 ","$479,216.00 ","$30,746.00 ","$54,595.00 ",$0.00 ,"$28,810.00 ","$42,150.00 ","$15,500.00 ","$3,150.00 ","$37,790.00 "
LA,"$233,955.00 ","$308,690.00 ","$9,218.00 ","$26,950.00 ",$0.00 ,"$5,050.00 ","$8,000.00 ","$5,750.00 ",$250.00 ,"$7,150.00 "
NC,"$195,555.00 ","$350,215.00 ","$24,485.00 ","$27,600.00 ",$0.00 ,"$15,000.00 ","$9,250.00 ","$3,709.00 ","$1,450.00 ","$31,525.00 "
MI,"$169,135.00 ","$1,112,588.00 ","$33,329.00 ","$49,600.00 ",$0.00 ,"$70,690.00 ","$9,565.00 ","$22,877.00 ","$2,900.00 ","$60,340.00 "
MN,"$167,915.00 ","$309,480.00 ","$20,524.00 ","$12,000.00 ",$0.00 ,"$10,050.00 ","$31,150.00 ","$46,925.00 ","$1,950.00 ","$61,599.00 "
OK,"$150,807.00 ","$207,423.00 ","$13,580.00 ","$19,050.00 ",$0.00 ,"$9,500.00 ","$5,100.00 ","$5,000.00 ",$0.00 ,"$26,000.00 "
MO,"$146,954.00 ","$445,370.00 ","$34,460.00 ","$25,252.00 ",$0.00 ,"$5,350.00 ","$14,650.00 ","$9,614.00 ",$0.00 ,"$41,631.00 "
OT,"$137,580.00 ","$2,900.00 ","$78,261.00 ","$11,405.00 ",$0.00 ,"$2,800.00 ","$26,300.00 ","$60,799.00 ",$500.00 ,$0.00 
AL,"$136,450.00 ","$343,210.00 ","$14,128.00 ","$15,150.00 ",$0.00 ,"$1,800.00 ",$500.00 ,"$15,500.00 ","$1,739.00 ","$13,830.00 "
WA,"$127,367.00 ","$159,441.00 ","$73,783.00 ","$23,200.00 ",$0.00 ,"$16,628.00 ","$28,400.00 ","$20,300.00 ","$6,250.00 ","$75,220.00 "
AZ,"$120,450.00 ","$333,600.00 ","$13,644.00 ","$35,090.00 ",$0.00 ,"$8,100.00 ","$29,919.00 ","$8,950.00 ",$0.00 ,"$27,970.00 "
KY,"$108,005.00 ","$468,900.00 ","$10,108.00 ","$9,800.00 ",$0.00 ,"$6,725.00 ","$5,500.00 ","$5,750.00 ",$0.00 ,"$21,300.00 "
CO,"$106,810.00 ","$245,680.00 ","$23,836.00 ","$13,200.00 ",$0.00 ,"$7,825.00 ","$57,510.00 ","$16,000.00 ",$0.00 ,"$51,650.00 "
NM,"$99,290.00 ","$102,100.00 ","$15,829.00 ","$5,400.00 ",$0.00 ,"$5,250.00 ","$16,500.00 ","$5,300.00 ",$250.00 ,"$18,100.00 "
NV,"$97,570.00 ","$146,110.00 ","$16,605.00 ","$12,500.00 ",$0.00 ,"$8,000.00 ","$18,250.00 ","$5,250.00 ",$0.00 ,"$9,950.00 "
IN,"$92,865.00 ","$614,310.00 ","$7,025.00 ","$24,400.00 ",$0.00 ,"$7,450.00 ","$15,860.00 ","$8,550.00 ","$2,983.00 ","$22,875.00 "
SC,"$91,502.00 ","$88,271.00 ","$28,194.00 ","$25,900.00 ",$0.00 ,"$13,750.00 ","$4,119.00 ","$8,900.00 ",$0.00 ,"$14,325.00 "
MS,"$83,006.00 ","$263,355.00 ","$10,304.00 ","$21,725.00 ",$0.00 ,$0.00 ,"$5,250.00 ","$3,000.00 ",$0.00 ,"$5,590.00 "
WV,"$82,200.00 ","$15,244.00 ","$3,141.00 ","$5,000.00 ",$0.00 ,$0.00 ,"$3,150.00 ","$4,500.00 ",$0.00 ,"$3,300.00 "
OR,"$76,321.00 ","$231,355.00 ","$29,906.00 ","$11,650.00 ",$0.00 ,"$5,350.00 ","$5,550.00 ","$5,500.00 ","$1,490.00 ","$33,450.00 "
NH,"$71,939.00 ","$85,219.00 ","$7,289.00 ","$22,000.00 ",$0.00 ,"$47,090.00 ","$12,090.00 ","$6,850.00 ",$0.00 ,"$8,375.00 "
WI,"$69,866.00 ","$279,829.00 ","$44,156.00 ","$30,188.00 ",$0.00 ,"$7,750.00 ","$6,500.00 ","$12,240.00 ",$710.00 ,"$53,700.00 "
RI,"$60,050.00 ","$53,470.00 ","$9,619.00 ","$1,400.00 ",$0.00 ,"$13,500.00 ","$4,000.00 ","$7,000.00 ","$2,150.00 ","$7,850.00 "
ME,"$57,755.00 ","$56,058.00 ","$10,611.00 ","$5,550.00 ",$0.00 ,"$13,000.00 ","$7,700.00 ","$1,750.00 ",$0.00 ,"$12,074.00 "
HI,"$54,573.00 ","$45,350.00 ","$9,594.00 ","$4,950.00 ",$0.00 ,"$1,000.00 ",$750.00 ,"$3,750.00 ",$250.00 ,"$5,250.00 "
KS,"$46,742.00 ","$201,260.00 ","$16,998.00 ","$13,450.00 ",$0.00 ,"$1,750.00 ","$5,250.00 ","$2,500.00 ",$0.00 ,"$50,640.00 "
IA,"$39,600.00 ","$118,755.00 ","$6,235.00 ","$4,950.00 ",$0.00 ,"$1,750.00 ","$14,450.00 ","$135,152.00 ",$0.00 ,"$27,100.00 "
VT,"$35,050.00 ","$16,940.00 ","$5,679.00 ",$0.00 ,$0.00 ,"$6,700.00 ",$500.00 ,"$6,000.00 ","$1,700.00 ","$12,600.00 "
ZZ,"$34,300.00 ","$28,000.00 ","$2,000.00 ","$1,250.00 ",$0.00 ,"$6,000.00 ","$2,000.00 ",$250.00 ,$0.00 ,$0.00 
UT,"$26,100.00 ","$83,150.00 ","$7,279.00 ","$4,250.00 ",$0.00 ,"$1,000.00 ","$1,750.00 ","$5,750.00 ",$0.00 ,"$4,525.00 "
