State,"DOLE, ROBERT J","CLINTON, WILLIAM JEFFERSON","PEROT, ROSS","FORBES, MALCOLM S JR","BUCHANAN, PATRICK J","GRAMM, WILLIAM PHILLIP","ALEXANDER, ANDREW L","LUGAR, RICHARD G","WILSON, PETE","TAYLOR, MAURICE M JR"
NY,"$3,056,478.00 ","$2,618,346.00 ","$15,391.00 ","$731,430.00 ","$147,320.00 ","$547,610.00 ","$636,909.00 ","$120,675.00 ","$479,355.00 ","$1,000.00 "
CA,"$1,959,485.00 ","$2,696,662.00 ","$29,030.00 ","$161,790.00 ","$311,844.00 ","$772,779.00 ","$491,154.00 ","$89,700.00 ","$3,796,160.00 ","$10,800.00 "
TX,"$1,695,753.00 ","$1,353,846.00 ","$24,136.00 ","$92,800.00 ","$202,528.00 ","$4,657,699.00 ","$493,675.00 ","$64,726.00 ","$93,750.00 ",$0.00 
FL,"$1,506,348.00 ","$1,824,664.00 ","$22,059.00 ","$178,975.00 ","$168,155.00 ","$819,655.00 ","$859,971.00 ","$82,125.00 ","$97,250.00 ","$2,250.00 "
VA,"$1,185,343.00 ","$731,514.00 ","$7,869.00 ","$45,900.00 ","$108,523.00 ","$199,845.00 ","$216,025.00 ","$58,865.00 ","$85,600.00 ",$0.00 
NJ,"$1,124,511.00 ","$1,087,020.00 ","$7,285.00 ","$321,689.00 ","$120,443.00 ","$170,300.00 ","$247,700.00 ","$27,950.00 ","$159,955.00 ",$0.00 
KS,"$1,092,378.00 ","$78,800.00 ","$1,400.00 ","$13,900.00 ","$32,073.00 ","$20,780.00 ","$6,500.00 ","$18,500.00 ","$6,750.00 ","$1,000.00 "
OH,"$876,319.00 ","$221,667.00 ","$9,097.00 ","$46,828.00 ","$125,911.00 ","$210,180.00 ","$144,800.00 ","$127,674.00 ","$15,000.00 ","$1,000.00 "
IL,"$831,722.00 ","$1,113,936.00 ","$8,233.00 ","$58,817.00 ","$81,798.00 ","$452,344.00 ","$224,742.00 ","$182,815.00 ","$60,250.00 ","$6,450.00 "
PA,"$781,289.00 ","$1,027,941.00 ","$10,740.00 ","$198,975.00 ","$99,202.00 ","$304,257.00 ","$221,550.00 ","$26,400.00 ","$25,500.00 ",$500.00 
MO,"$781,246.00 ","$143,525.00 ","$5,400.00 ","$11,950.00 ","$47,531.00 ","$199,685.00 ","$42,750.00 ","$18,600.00 ","$19,500.00 ",$0.00 
MA,"$627,652.00 ","$1,135,336.00 ","$11,998.00 ","$53,175.00 ","$73,950.00 ","$101,550.00 ","$135,500.00 ","$18,600.00 ","$425,405.00 ",$0.00 
CT,"$620,545.00 ","$294,900.00 ","$2,050.00 ","$154,450.00 ","$31,151.00 ","$120,290.00 ","$197,440.00 ","$34,675.00 ","$85,850.00 ","$1,000.00 "
DC,"$597,830.00 ","$970,470.00 ","$1,800.00 ","$37,950.00 ","$14,300.00 ","$70,100.00 ","$131,675.00 ","$67,100.00 ","$155,151.00 ",$0.00 
MD,"$515,308.00 ","$1,105,474.00 ","$3,159.00 ","$36,500.00 ","$50,570.00 ","$145,745.00 ","$197,351.00 ","$49,200.00 ","$130,900.00 ","$1,000.00 "
