State,"OBAMA, BARACK","MCCAIN, JOHN S.","CLINTON, HILLARY RODHAM","ROMNEY, MITT","GIULIANI, RUDOLPH W.","EDWARDS, JOHN","PAUL, RON","RICHARDSON, BILL","THOMPSON, FRED DALTON","DODD, CHRISTOPHER J"
CA,"$97,116,358.89 ","$26,106,470.86 ","$31,186,203.65 ","$9,538,527.99 ","$7,138,285.22 ","$5,803,194.71 ","$2,799,166.49 ","$2,426,637.50 ","$985,121.38 ","$754,026.88 "
NY,"$59,938,744.92 ","$13,865,237.97 ","$34,830,211.96 ","$2,984,100.62 ","$12,657,690.90 ","$3,268,686.81 ","$732,877.30 ","$1,743,093.58 ","$745,813.00 ","$2,270,303.95 "
IL,"$35,951,173.16 ","$7,505,160.34 ","$6,198,561.42 ","$1,483,093.87 ","$1,608,067.85 ","$780,336.40 ","$626,492.36 ","$391,509.00 ","$324,036.00 ","$347,916.00 "
MA,"$25,043,123.66 ","$4,301,559.60 ","$5,777,227.86 ","$4,682,774.34 ","$816,815.00 ","$569,421.86 ","$313,629.53 ","$410,130.52 ","$85,930.00 ","$444,499.28 "
TX,"$20,757,877.82 ","$18,800,331.33 ","$9,197,998.00 ","$3,502,139.11 ","$6,898,803.00 ","$2,713,494.79 ","$2,236,325.38 ","$1,423,994.34 ","$1,840,355.64 ","$143,125.00 "
FL,"$20,252,458.05 ","$15,657,079.91 ","$10,852,327.60 ","$4,730,281.18 ","$5,535,848.01 ","$1,497,821.91 ","$1,253,162.31 ","$833,917.79 ","$951,173.84 ","$319,059.10 "
MD,"$19,546,390.69 ","$3,646,992.99 ","$6,275,579.46 ","$906,438.19 ","$1,099,971.00 ","$427,928.25 ","$333,667.10 ","$356,621.00 ","$245,759.00 ","$337,617.00 "
VA,"$17,194,459.41 ","$9,103,182.41 ","$5,620,117.47 ","$1,388,228.19 ","$1,311,641.00 ","$579,786.01 ","$523,671.32 ","$374,055.00 ","$678,494.74 ","$391,708.08 "
WA,"$16,886,815.51 ","$2,790,870.22 ","$2,626,637.19 ","$897,750.00 ","$289,913.60 ","$812,560.23 ","$694,587.10 ","$192,799.13 ","$134,513.00 ","$83,900.00 "
DC,"$16,563,508.87 ","$2,282,355.70 ","$6,474,173.42 ","$505,146.05 ","$499,656.25 ","$389,680.32 ","$49,920.72 ","$367,648.06 ","$152,489.44 ","$409,875.00 "
PA,"$14,766,951.38 ","$5,438,067.79 ","$5,383,312.86 ","$760,778.00 ","$1,525,229.00 ","$700,619.85 ","$619,017.79 ","$483,498.00 ","$146,361.00 ","$151,671.00 "
NJ,"$13,906,867.28 ","$5,363,087.37 ","$7,957,253.24 ","$699,689.75 ","$4,294,152.00 ","$712,898.64 ","$484,731.59 ","$375,221.50 ","$173,463.00 ","$319,352.80 "
CO,"$11,143,896.94 ","$3,923,931.42 ","$2,152,644.52 ","$1,040,644.00 ","$587,788.00 ","$271,029.77 ","$406,498.83 ","$442,600.00 ","$115,100.00 ","$105,075.00 "
CT,"$9,876,492.66 ","$4,279,556.71 ","$3,191,570.40 ","$1,721,429.18 ","$1,920,630.00 ","$465,368.46 ","$204,358.49 ","$218,695.00 ","$119,925.00 ","$2,204,008.52 "
GA,"$8,619,844.54 ","$5,111,695.73 ","$2,153,394.32 ","$1,288,422.61 ","$1,099,499.99 ","$853,017.37 ","$471,839.59 ","$169,165.00 ","$575,262.00 ","$87,000.00 "
NC,"$8,584,875.54 ","$2,939,647.07 ","$2,209,162.66 ","$427,743.94 ","$872,614.38 ","$2,412,830.69 ","$345,463.53 ","$75,045.00 ","$210,657.00 ","$50,200.05 "
MI,"$7,466,461.75 ","$4,825,886.94 ","$1,634,569.39 ","$2,487,521.02 ","$525,907.88 ","$376,445.93 ","$447,438.96 ","$62,150.50 ","$89,989.00 ","$31,580.00 "
OH,"$7,303,272.62 ","$5,825,204.42 ","$2,156,921.56 ","$1,634,268.03 ","$712,210.00 ","$523,232.90 ","$427,342.62 ","$227,280.00 ","$187,332.11 ","$44,205.00 "
OR,"$6,746,940.04 ","$1,270,026.37 ","$983,163.22 ","$516,968.00 ","$175,510.41 ","$442,130.83 ","$298,085.14 ","$104,696.00 ","$56,418.00 ","$6,325.00 "
MN,"$6,115,933.30 ","$2,477,491.42 ","$1,396,636.23 ","$174,041.00 ","$428,775.00 ","$269,383.98 ","$223,114.50 ","$96,973.61 ","$80,750.00 ","$37,680.00 "
AZ,"$5,563,254.45 ","$8,011,644.78 ","$1,617,388.40 ","$1,681,148.65 ","$474,430.00 ","$255,272.12 ","$557,565.74 ","$381,497.00 ","$143,203.00 ","$53,350.00 "
MO,"$5,023,559.09 ","$3,009,129.50 ","$1,404,283.27 ","$1,051,207.84 ","$430,746.00 ","$188,468.68 ","$229,224.15 ","$75,300.00 ","$180,132.00 ","$28,850.00 "
WI,"$4,894,038.24 ","$1,759,489.61 ","$766,078.79 ","$184,312.22 ","$147,050.00 ","$182,967.42 ","$200,375.07 ","$69,270.00 ","$76,393.00 ","$7,400.00 "
OT,"$4,800,236.28 ","$821,817.00 ","$437,450.00 ","$125,200.00 ","$507,100.00 ","$61,299.00 ","$12,547.60 ","$47,050.00 ","$40,200.00 ","$38,400.00 "
NM,"$4,071,208.75 ","$1,024,688.30 ","$919,264.91 ","$86,660.00 ","$73,424.98 ","$156,516.88 ","$135,553.46 ","$5,867,254.35 ","$46,878.00 ","$8,400.00 "
TN,"$3,657,770.49 ","$3,007,679.88 ","$933,006.80 ","$691,694.00 ","$157,160.00 ","$290,331.44 ","$320,826.74 ","$135,466.00 ","$3,574,236.60 ","$18,200.00 "
IN,"$3,430,501.33 ","$1,818,109.58 ","$965,749.02 ","$302,941.00 ","$304,370.00 ","$239,931.67 ","$238,646.94 ","$54,560.00 ","$164,431.04 ","$18,273.00 "
HI,"$3,100,715.20 ","$426,968.80 ","$274,416.25 ","$55,755.00 ","$42,600.00 ","$40,161.91 ","$104,238.25 ","$15,150.00 ","$12,369.00 ","$9,450.00 "
NH,"$2,517,421.34 ","$915,660.00 ","$433,989.14 ","$332,396.00 ","$127,102.50 ","$104,603.71 ","$231,963.21 ","$94,113.00 ","$30,519.00 ","$35,595.04 "
KY,"$2,421,825.49 ","$1,253,752.06 ","$1,017,676.40 ","$203,963.00 ","$223,405.00 ","$194,141.77 ","$148,542.54 ","$29,840.00 ","$72,849.00 ","$17,297.00 "
NV,"$2,353,576.95 ","$2,082,701.98 ","$969,469.31 ","$1,007,344.00 ","$791,365.00 ","$143,494.59 ","$338,107.10 ","$280,714.03 ","$144,893.00 ","$67,575.00 "
ME,"$2,258,540.04 ","$477,897.48 ","$297,484.77 ","$105,031.00 ","$35,725.00 ","$70,386.45 ","$63,832.33 ","$29,381.00 ","$6,025.00 ","$19,445.00 "
IA,"$2,250,564.15 ","$749,607.61 ","$449,243.35 ","$215,822.00 ","$132,155.00 ","$176,675.63 ","$197,155.08 ","$74,647.50 ","$44,338.00 ","$20,670.00 "
SC,"$2,243,663.17 ","$2,631,699.25 ","$570,268.08 ","$441,415.00 ","$555,330.00 ","$373,110.19 ","$198,208.14 ","$127,650.00 ","$144,879.00 ","$24,277.00 "
VT,"$2,116,819.85 ","$207,239.00 ","$182,123.41 ","$54,889.00 ","$56,250.00 ","$45,125.65 ","$25,759.85 ","$27,410.00 ","$6,150.00 ","$8,800.00 "
OK,"$1,726,153.50 ","$2,100,901.29 ","$981,267.61 ","$166,319.00 ","$410,870.00 ","$411,522.92 ","$172,938.24 ","$114,520.00 ","$102,836.00 ","$1,100.00 "
ZZ,"$1,689,753.31 ","$2,600.00 ","$179,150.00 ",$0.00 ,$0.00 ,$0.00 ,"$105,579.00 ",$0.00 ,$0.00 ,$0.00 
UT,"$1,675,264.24 ","$1,069,842.50 ","$549,209.89 ","$6,292,461.34 ","$189,300.00 ","$110,134.95 ","$172,018.32 ","$88,450.00 ","$19,131.00 ","$40,925.00 "
AL,"$1,641,194.92 ","$1,871,184.88 ","$739,158.61 ","$304,512.00 ","$357,611.00 ","$467,432.73 ","$180,582.03 ","$31,385.00 ","$291,874.00 ","$83,925.00 "
RI,"$1,596,519.31 ","$355,630.00 ","$702,176.57 ","$139,525.00 ","$141,083.62 ","$50,538.76 ","$36,019.68 ","$36,210.00 ","$8,011.00 ","$141,570.04 "
KS,"$1,550,691.88 ","$1,272,745.50 ","$326,837.41 ","$154,941.00 ","$154,061.00 ","$73,555.81 ","$170,851.39 ","$45,935.00 ","$75,439.00 ","$9,225.00 "
LA,"$1,464,289.64 ","$2,243,779.82 ","$959,441.27 ","$236,373.00 ","$551,147.00 ","$301,560.02 ","$167,695.26 ","$50,641.00 ","$342,501.00 ","$54,000.00 "
MT,"$1,116,577.84 ","$389,604.50 ","$216,232.91 ","$73,057.00 ","$14,050.00 ","$78,912.03 ","$111,424.71 ","$17,800.00 ","$19,353.50 ","$5,100.00 "
AR,"$1,116,010.77 ","$1,045,907.00 ","$1,725,247.98 ","$33,067.00 ","$37,875.00 ","$63,533.08 ","$92,771.40 ","$55,225.00 ","$56,837.00 ","$4,400.00 "
DE,"$1,063,886.29 ","$360,992.00 ","$299,525.47 ","$86,722.00 ","$119,145.00 ","$29,099.63 ","$34,167.24 ","$16,675.00 ","$8,643.00 ","$18,450.00 "
AK,"$991,998.42 ","$327,827.00 ","$160,855.46 ","$51,195.00 ","$27,525.00 ","$22,169.11 ","$91,912.67 ","$12,218.00 ","$20,105.00 ",$100.00 
ID,"$885,555.66 ","$460,011.50 ","$148,804.44 ","$737,776.19 ","$175,150.00 ","$18,753.17 ","$153,698.53 ","$13,447.00 ","$22,050.00 ","$3,550.00 "
NE,"$870,821.07 ","$681,832.00 ","$319,386.51 ","$97,151.00 ","$83,352.00 ","$41,797.20 ","$62,665.46 ","$25,040.00 ","$26,661.00 ","$8,525.00 "
MS,"$767,979.83 ","$1,405,926.00 ","$208,980.21 ","$50,397.00 ","$118,695.55 ","$118,800.57 ","$69,169.48 ","$10,735.00 ","$243,696.00 ","$2,300.00 "
WY,"$750,514.54 ","$469,344.00 ","$108,959.03 ","$233,649.00 ","$58,370.00 ","$20,187.00 ","$74,915.97 ","$36,225.00 ","$27,020.00 ","$6,900.00 "
WV,"$703,295.56 ","$287,530.45 ","$457,681.75 ","$36,576.00 ","$116,825.00 ","$110,546.08 ","$40,478.61 ","$12,650.00 ","$39,271.00 ",$225.01 
VI,"$418,317.08 ","$21,591.00 ","$64,026.50 ","$2,850.00 ","$1,000.00 ","$4,650.00 ","$2,699.98 ","$46,200.00 ","$3,900.00 ","$5,600.00 "
PR,"$382,703.69 ","$96,628.00 ","$373,449.75 ","$6,550.00 ","$32,650.00 ","$2,550.00 ",$651.00 ,"$41,900.00 ","$2,050.00 ",$0.00 
SD,"$335,908.42 ","$312,554.00 ","$71,985.92 ","$74,275.00 ","$118,600.00 ","$12,166.00 ","$32,988.71 ","$13,475.00 ","$12,247.00 ",$350.00 
ND,"$191,500.63 ","$181,476.00 ","$43,402.92 ","$8,460.50 ","$36,884.11 ","$8,760.00 ","$32,324.17 ",$875.00 ,"$9,670.00 ",$250.00 
AE,"$75,017.93 ","$7,304.00 ","$6,182.47 ","$2,550.00 ",$550.00 ,"$5,945.63 ","$2,585.04 ",$150.00 ,$200.00 ,$0.00 
AP,"$30,668.70 ","$2,722.00 ","$1,645.00 ","$2,194.00 ",$0.00 ,$0.00 ,"$1,623.26 ",$100.00 ,$725.00 ,$0.00 
GU,"$25,062.51 ","$76,372.00 ","$10,208.10 ","$2,300.00 ",$0.00 ,"$1,500.00 ","$1,451.00 ",$0.00 ,$450.00 ,$0.00 
MP,"$5,140.00 ","$15,031.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$100.00 ,$0.00 ,$500.00 ,$0.00 
AA,"$1,692.14 ",$695.00 ,$100.00 ,$50.00 ,$0.00 ,$0.00 ,$720.26 ,$0.00 ,$0.00 ,$0.00 
AS,"$1,481.68 ",$0.00 ,"$1,125.00 ",$0.00 ,$0.00 ,$0.00 ,"$2,451.00 ",$0.00 ,$0.00 ,$0.00 
