State,"OBAMA, BARACK","ROMNEY, MITT / RYAN, PAUL D.","PAUL, RON","GINGRICH, NEWT","SANTORUM, RICHARD J.","PERRY, JAMES R (RICK)","CAIN, HERMAN","HERMAN, RAPHAEL","HUNTSMAN, JON","PAWLENTY, TIMOTHY"
CA,"$88,114,474.55 ","$43,995,648.08 ","$2,992,887.58 ","$1,324,324.14 ","$995,688.12 ","$1,626,930.60 ","$569,895.91 ",$0.00 ,"$406,725.00 ","$957,580.00 "
NY,"$49,033,060.60 ","$25,712,849.77 ","$1,054,621.37 ","$465,379.49 ","$343,530.98 ","$466,325.00 ","$206,837.43 ",$0.00 ,"$400,470.00 ","$242,325.00 "
IL,"$31,744,937.59 ","$13,737,783.24 ","$665,897.08 ","$343,465.90 ","$360,385.73 ","$388,385.00 ","$177,348.28 ",$0.00 ,"$151,506.00 ","$290,691.14 "
MA,"$23,128,006.47 ","$11,604,946.23 ","$371,086.59 ","$136,521.79 ","$98,298.19 ","$50,024.00 ","$50,946.51 ",$0.00 ,"$144,640.50 ","$100,350.00 "
TX,"$23,062,996.55 ","$38,084,105.71 ","$2,612,683.61 ","$1,408,019.44 ","$1,542,016.56 ","$11,051,213.75 ","$946,888.02 ",$0.00 ,"$181,987.00 ","$484,789.24 "
FL,"$21,511,934.36 ","$32,921,596.94 ","$1,357,731.80 ","$1,660,210.81 ","$614,578.30 ","$813,036.89 ","$690,547.82 ",$0.00 ,"$283,724.19 ","$316,078.92 "
MD,"$18,101,921.86 ","$6,278,825.26 ","$397,202.41 ","$146,334.14 ","$170,408.65 ","$141,520.00 ","$72,640.66 ",$0.00 ,"$55,323.00 ","$35,815.00 "
WA,"$15,903,237.09 ","$6,543,251.10 ","$716,502.93 ","$266,378.58 ","$227,277.01 ","$38,335.00 ","$117,056.87 ",$0.00 ,"$40,235.00 ","$21,125.00 "
VA,"$15,847,544.21 ","$14,776,922.54 ","$669,310.82 ","$429,722.35 ","$434,225.14 ","$234,380.12 ","$193,833.56 ",$0.00 ,"$116,910.71 ","$133,243.27 "
PA,"$14,156,470.92 ","$12,085,434.31 ","$763,015.45 ","$266,430.30 ","$1,402,183.58 ","$328,002.12 ","$151,743.93 ",$0.00 ,"$89,800.00 ","$16,580.00 "
DC,"$12,976,380.84 ","$2,684,061.18 ","$43,282.66 ","$38,908.52 ","$25,347.24 ","$71,400.00 ","$8,770.00 ",$0.00 ,"$93,776.50 ","$34,240.00 "
NJ,"$12,019,344.02 ","$10,880,158.75 ","$541,990.16 ","$205,196.24 ","$171,757.13 ","$118,385.00 ","$113,185.80 ",$0.00 ,"$65,157.00 ","$67,385.00 "
CO,"$10,464,256.74 ","$9,076,978.27 ","$491,262.62 ","$208,368.86 ","$309,678.81 ","$233,033.33 ","$130,134.66 ",$0.00 ,"$20,525.00 ","$105,827.54 "
NC,"$9,697,574.27 ","$7,779,188.87 ","$516,908.48 ","$308,658.27 ","$191,743.61 ","$77,075.00 ","$167,286.98 ",$0.00 ,"$25,766.00 ","$9,650.00 "
MI,"$9,033,531.70 ","$9,814,472.41 ","$511,725.72 ","$192,719.83 ","$276,737.29 ","$35,750.00 ","$100,953.72 ",$0.00 ,"$55,042.00 ","$77,480.00 "
GA,"$9,032,322.31 ","$11,669,252.62 ","$494,762.71 ","$1,154,789.45 ","$246,080.18 ","$188,036.00 ","$873,554.30 ",$0.00 ,"$47,027.50 ","$98,870.00 "
CT,"$7,949,761.11 ","$10,187,120.79 ","$279,860.00 ","$158,161.36 ","$88,141.04 ","$61,750.00 ","$69,998.12 ",$0.00 ,"$93,498.00 ","$85,800.00 "
OH,"$7,828,384.29 ","$11,478,933.57 ","$575,934.30 ","$292,924.80 ","$337,901.17 ","$303,280.00 ","$213,318.85 ",$0.00 ,"$23,571.00 ","$42,500.00 "
OR,"$7,124,373.28 ","$2,724,698.45 ","$335,772.98 ","$90,600.91 ","$129,399.23 ","$26,617.00 ","$67,106.87 ",$0.00 ,"$9,679.00 ","$3,850.00 "
MN,"$6,697,049.41 ","$3,792,911.71 ","$340,998.88 ","$131,412.33 ","$188,546.98 ","$11,400.00 ","$72,082.80 ",$0.00 ,"$11,830.00 ","$1,293,568.38 "
AZ,"$6,030,181.76 ","$7,660,699.47 ","$570,173.46 ","$249,566.83 ","$190,720.17 ","$79,349.00 ","$241,391.63 ",$0.00 ,"$60,618.00 ","$92,575.00 "
WI,"$4,782,299.09 ","$4,601,527.34 ","$273,648.06 ","$92,682.50 ","$141,116.66 ","$11,385.00 ","$126,167.89 ",$0.00 ,"$17,263.00 ","$21,590.00 "
MO,"$4,439,418.92 ","$6,454,575.71 ","$328,237.78 ","$200,415.51 ","$221,139.43 ","$67,300.00 ","$104,508.54 ",$0.00 ,"$7,542.00 ","$51,100.00 "
TN,"$4,394,723.51 ","$6,901,848.83 ","$372,758.99 ","$268,911.29 ","$220,494.05 ","$466,852.00 ","$216,772.53 ",$0.00 ,"$53,400.00 ","$10,105.00 "
IN,"$3,619,660.68 ","$4,051,970.75 ","$333,707.48 ","$146,815.61 ","$152,300.02 ","$57,350.00 ","$98,599.11 ",$0.00 ,"$8,525.00 ","$16,600.00 "
NM,"$3,542,622.62 ","$1,835,225.60 ","$143,518.36 ","$79,469.57 ","$56,032.44 ","$55,100.00 ","$53,825.99 ",$0.00 ,"$2,905.00 ","$15,500.00 "
ME,"$2,660,644.34 ","$616,346.84 ","$117,845.11 ","$25,625.91 ","$13,556.89 ",$125.00 ,"$14,863.99 ",$0.00 ,"$3,204.00 ","$3,000.00 "
SC,"$2,534,219.82 ","$3,702,300.20 ","$221,568.46 ","$242,037.89 ","$198,503.20 ","$143,800.00 ","$98,533.56 ",$0.00 ,"$10,513.00 ","$2,800.00 "
NH,"$2,423,468.42 ","$1,744,507.32 ","$252,456.80 ","$57,090.91 ","$44,870.50 ","$38,058.00 ","$41,837.10 ",$0.00 ,"$29,253.00 ","$24,135.00 "
HI,"$2,420,002.38 ","$622,925.12 ","$121,766.67 ","$25,966.49 ","$23,945.11 ","$2,250.00 ","$40,139.39 ",$0.00 ,$250.00 ,"$3,500.00 "
NV,"$2,388,795.57 ","$3,984,504.59 ","$398,286.79 ","$237,970.06 ","$69,077.88 ","$143,500.00 ","$125,823.78 ",$0.00 ,"$160,140.00 ","$77,899.88 "
IA,"$2,335,016.03 ","$2,167,497.41 ","$280,831.78 ","$126,828.82 ","$218,364.80 ","$16,000.00 ","$52,959.89 ",$0.00 ,$900.00 ,"$15,530.00 "
VT,"$2,298,509.11 ","$296,910.60 ","$52,129.74 ","$12,630.00 ","$15,127.80 ","$3,800.00 ","$13,660.00 ",$0.00 ,"$4,850.00 ","$1,750.00 "
LA,"$2,292,679.41 ","$4,796,917.19 ","$279,166.93 ","$327,607.28 ","$238,216.23 ","$571,505.00 ","$82,851.23 ",$0.00 ,"$4,500.00 ","$12,650.00 "
