State,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","TRUMP, DONALD J. / MICHAEL R. PENCE","SANDERS, BERNARD","CRUZ, RAFAEL EDWARD ""TED""","CARSON, BENJAMIN S SR MD","RUBIO, MARCO","BUSH, JEB","KASICH, JOHN R","PAUL, RAND","FIORINA, CARLY"
CA,"$94,003,072.91 ","$12,134,124.02 ","$21,194,969.98 ","$5,849,211.50 ","$3,140,797.19 ","$5,832,665.52 ","$3,351,930.23 ","$1,577,873.54 ","$827,331.93 ","$1,473,054.42 "
NY,"$71,119,996.92 ","$5,109,431.45 ","$8,684,425.79 ","$1,731,535.83 ","$682,695.42 ","$2,796,639.25 ","$3,660,103.31 ","$899,403.25 ","$256,758.90 ","$359,948.23 "
TX,"$22,668,231.41 ","$14,115,636.92 ","$3,650,917.92 ","$20,525,948.33 ","$3,228,315.97 ","$3,449,997.65 ","$3,831,589.09 ","$533,336.00 ","$698,060.63 ","$648,742.56 "
FL,"$21,897,371.63 ","$11,275,556.59 ","$3,559,923.17 ","$2,933,231.97 ","$1,928,371.94 ","$7,017,090.27 ","$6,716,620.59 ","$797,340.66 ","$417,524.89 ","$440,428.08 "
MA,"$21,253,268.55 ","$1,722,559.25 ","$4,959,315.19 ","$452,870.14 ","$281,005.44 ","$818,866.22 ","$423,122.00 ","$412,393.30 ","$84,509.20 ","$120,307.48 "
DC,"$17,527,667.03 ","$216,430.06 ","$665,739.35 ","$135,133.11 ","$32,189.82 ","$479,775.80 ","$781,597.80 ","$185,432.50 ","$40,144.38 ","$25,750.00 "
MD,"$16,144,462.63 ","$1,529,099.34 ","$2,063,048.49 ","$628,965.54 ","$607,161.20 ","$433,562.36 ","$474,665.28 ","$284,614.00 ","$64,522.13 ","$79,660.25 "
IL,"$16,138,595.67 ","$3,074,387.27 ","$3,543,106.17 ","$1,284,289.01 ","$681,411.63 ","$1,218,810.73 ","$660,590.00 ","$584,153.25 ","$200,838.76 ","$158,737.50 "
VA,"$15,972,409.46 ","$3,260,391.83 ","$2,098,025.92 ","$1,374,750.51 ","$892,579.51 ","$1,205,649.54 ","$1,384,496.38 ","$533,624.85 ","$173,942.94 ","$280,646.38 "
PA,"$12,780,822.73 ","$3,659,383.25 ","$2,581,643.98 ","$1,375,721.74 ","$892,681.37 ","$1,050,873.76 ","$451,863.00 ","$642,623.05 ","$137,981.31 ","$328,930.85 "
WA,"$12,750,478.86 ","$2,237,637.81 ","$5,890,022.05 ","$1,222,910.85 ","$723,107.34 ","$449,542.43 ","$255,821.00 ","$137,968.50 ","$148,867.43 ","$131,398.00 "
NJ,"$12,372,771.60 ","$2,557,222.33 ","$2,149,970.59 ","$903,417.79 ","$410,657.26 ","$678,132.25 ","$980,968.00 ","$275,549.25 ","$104,526.05 ","$88,234.51 "
CO,"$8,528,177.48 ","$2,296,942.08 ","$2,457,324.62 ","$1,030,453.43 ","$777,909.72 ","$680,831.19 ","$282,072.00 ","$145,311.75 ","$101,023.38 ","$226,209.65 "
CT,"$8,237,213.91 ","$984,328.01 ","$1,504,796.47 ","$330,083.49 ","$168,296.95 ","$594,424.86 ","$1,097,926.00 ","$376,428.00 ","$63,801.16 ","$84,638.95 "
GA,"$7,040,744.99 ","$4,379,680.72 ","$1,139,719.50 ","$1,205,014.70 ","$863,582.63 ","$863,268.41 ","$799,510.00 ","$187,931.55 ","$120,218.56 ","$168,506.97 "
OH,"$6,660,439.92 ","$3,484,250.68 ","$1,481,561.60 ","$1,258,822.44 ","$720,392.55 ","$890,751.96 ","$238,905.00 ","$4,456,174.57 ","$116,543.32 ","$83,575.09 "
NC,"$6,645,869.76 ","$2,978,112.12 ","$1,789,805.39 ","$953,193.51 ","$1,132,589.56 ","$482,768.64 ","$470,986.45 ","$162,639.16 ","$125,291.30 ","$114,146.86 "
MI,"$6,465,842.01 ","$2,514,336.59 ","$2,120,898.30 ","$929,458.91 ","$1,000,507.42 ","$778,253.92 ","$1,000,694.50 ","$437,046.10 ","$196,358.99 ","$104,016.00 "
MN,"$5,117,937.13 ","$1,194,836.11 ","$1,622,376.83 ","$566,854.95 ","$437,922.28 ","$236,867.35 ","$222,347.00 ","$131,195.00 ","$88,415.87 ","$64,067.00 "
OR,"$4,775,309.67 ","$915,105.31 ","$3,180,825.78 ","$559,243.95 ","$438,419.90 ","$136,025.12 ","$193,917.00 ","$58,159.95 ","$60,333.89 ","$33,724.00 "
AZ,"$4,298,887.29 ","$2,769,147.25 ","$1,764,817.33 ","$964,462.02 ","$676,371.92 ","$941,491.26 ","$333,365.00 ","$120,259.75 ","$159,577.96 ","$194,630.50 "
MO,"$4,289,401.06 ","$1,570,399.44 ","$909,521.27 ","$927,968.55 ","$653,505.37 ","$399,819.04 ","$297,928.00 ","$100,267.50 ","$102,364.52 ","$43,782.00 "
TN,"$3,726,050.93 ","$2,398,056.10 ","$850,458.42 ","$1,024,347.95 ","$872,779.15 ","$355,533.38 ","$786,561.60 ","$214,132.80 ","$123,802.99 ","$76,675.41 "
WI,"$2,749,232.63 ","$1,274,082.99 ","$1,404,993.07 ","$445,120.84 ","$352,883.86 ","$264,613.12 ","$136,710.00 ","$85,610.00 ","$55,932.34 ","$91,221.00 "
OT,"$2,578,750.84 ","$1,558.40 ","$78,351.48 ","$38,784.76 ","$86,880.00 ","$173,987.00 ","$121,420.00 ","$4,550.00 ","$8,357.35 ","$7,165.00 "
NM,"$2,558,299.87 ","$708,830.87 ","$1,149,954.71 ","$404,023.44 ","$179,910.90 ","$67,165.37 ","$24,161.00 ","$33,395.58 ","$39,860.47 ","$37,848.00 "
IN,"$2,504,094.67 ","$1,843,852.42 ","$866,826.03 ","$702,445.97 ","$536,784.82 ","$261,682.34 ","$383,958.55 ","$155,967.32 ","$71,164.17 ","$38,366.00 "
AR,"$2,415,213.60 ","$729,006.74 ","$296,715.05 ","$402,239.81 ","$183,473.38 ","$66,150.16 ","$177,411.00 ","$20,484.50 ","$18,113.85 ","$16,950.50 "
NV,"$2,345,261.08 ","$1,610,004.40 ","$701,582.04 ","$481,817.00 ","$303,663.48 ","$437,867.81 ","$267,490.00 ","$48,631.00 ","$160,377.76 ","$70,301.57 "
SC,"$2,278,863.66 ","$1,534,185.51 ","$503,607.91 ","$654,929.91 ","$500,675.49 ","$676,483.48 ","$313,515.08 ","$100,008.50 ","$68,389.89 ","$73,116.76 "
OK,"$2,051,454.64 ","$1,728,204.66 ","$465,819.73 ","$777,193.40 ","$499,870.84 ","$323,420.82 ","$212,086.00 ","$41,281.00 ","$69,502.13 ","$120,354.50 "
LA,"$1,957,698.47 ","$1,782,521.70 ","$382,420.54 ","$694,704.86 ","$337,717.90 ","$365,983.40 ","$413,253.50 ","$84,162.80 ","$65,470.06 ","$77,901.82 "
AL,"$1,862,905.40 ","$1,671,228.86 ","$308,865.03 ","$683,275.93 ","$576,650.17 ","$478,248.73 ","$270,319.00 ","$54,983.00 ","$55,656.96 ","$31,294.00 "
IA,"$1,701,711.22 ","$858,743.79 ","$701,006.14 ","$458,909.69 ","$330,032.50 ","$191,623.21 ","$73,183.00 ","$60,948.80 ","$74,405.78 ","$69,643.17 "
ME,"$1,669,624.96 ","$216,976.57 ","$868,725.72 ","$101,632.37 ","$74,089.91 ","$32,402.16 ","$134,910.00 ","$18,499.75 ","$24,652.43 ","$69,399.00 "
RI,"$1,667,153.29 ","$181,466.14 ","$415,517.99 ","$58,899.80 ","$25,441.05 ","$21,729.00 ","$58,960.00 ","$45,450.00 ","$3,283.71 ","$5,887.00 "
KY,"$1,658,852.57 ","$1,232,113.07 ","$534,151.01 ","$298,958.74 ","$208,804.98 ","$129,256.13 ","$72,027.00 ","$91,136.50 ","$388,054.57 ","$22,150.00 "
NH,"$1,575,293.73 ","$405,221.66 ","$1,091,297.18 ","$220,134.77 ","$105,525.24 ","$147,265.30 ","$97,130.00 ","$120,850.50 ","$52,326.40 ","$62,635.00 "
KS,"$1,309,910.80 ","$901,306.13 ","$501,610.90 ","$487,552.16 ","$354,593.78 ","$165,633.32 ","$69,154.00 ","$47,168.00 ","$32,629.22 ","$31,993.85 "
UT,"$1,260,252.71 ","$643,963.22 ","$567,007.07 ","$554,139.17 ","$169,663.63 ","$179,786.91 ","$219,502.33 ","$59,399.50 ","$56,809.48 ","$86,943.10 "
HI,"$1,106,239.12 ","$296,067.46 ","$654,299.23 ","$140,803.50 ","$100,270.14 ","$65,706.16 ","$6,750.00 ","$13,125.00 ","$27,009.67 ","$22,842.00 "
NE,"$889,216.55 ","$567,589.31 ","$273,544.49 ","$229,923.00 ","$191,026.48 ","$45,906.00 ","$37,571.31 ","$10,224.50 ","$24,139.38 ","$30,342.00 "
VT,"$817,332.02 ","$78,955.19 ","$2,719,558.62 ","$52,067.48 ","$33,594.86 ","$86,277.16 ","$11,125.00 ","$9,069.99 ","$14,158.05 ","$4,438.00 "
DE,"$798,957.66 ","$251,167.31 ","$153,063.33 ","$100,922.81 ","$62,589.18 ","$23,997.50 ","$21,050.00 ","$19,772.75 ","$14,577.98 ","$17,113.00 "
PR,"$656,481.11 ","$15,775.47 ","$54,349.28 ","$1,870.00 ","$1,435.00 ","$86,576.77 ","$86,880.00 ","$1,215.00 ","$7,306.37 ","$2,915.00 "
WV,"$625,449.00 ","$462,654.26 ","$247,058.48 ","$225,723.79 ","$84,989.38 ","$21,379.16 ","$8,738.00 ","$34,651.00 ","$20,754.43 ","$3,958.00 "
MS,"$607,743.90 ","$1,192,882.33 ","$123,684.86 ","$287,835.27 ","$182,717.97 ","$52,215.81 ","$201,001.30 ","$84,747.00 ","$49,000.62 ","$27,413.00 "
ID,"$584,682.70 ","$497,919.27 ","$336,229.14 ","$344,087.22 ","$232,088.73 ","$149,023.82 ","$32,475.00 ","$22,191.00 ","$43,399.24 ","$30,840.00 "
MT,"$540,704.15 ","$411,050.16 ","$335,383.18 ","$229,743.03 ","$208,772.60 ","$160,663.01 ","$33,275.00 ","$28,547.75 ","$16,577.08 ","$16,298.20 "
AK,"$538,317.56 ","$375,627.68 ","$431,582.48 ","$148,521.68 ","$129,891.21 ","$30,056.00 ","$7,539.00 ","$14,841.00 ","$21,669.94 ","$13,208.50 "
WY,"$446,300.42 ","$396,618.95 ","$111,168.82 ","$188,190.00 ","$204,987.32 ","$107,157.25 ","$27,225.00 ","$33,226.00 ","$52,670.95 ","$23,473.05 "
SD,"$390,915.52 ","$280,261.19 ","$118,993.01 ","$123,298.70 ","$134,312.51 ","$54,314.30 ","$7,093.21 ","$8,410.00 ","$10,555.09 ","$10,110.00 "
ND,"$229,437.87 ","$270,885.10 ","$94,137.32 ","$106,522.00 ","$74,699.04 ","$16,474.66 ","$11,231.00 ","$15,878.00 ","$12,738.57 ","$4,651.00 "
VI,"$143,632.82 ","$5,685.40 ","$23,075.97 ","$3,588.00 ","$4,340.00 ","$4,175.00 ","$3,700.00 ","$2,700.00 ",$301.60 ,"$1,000.00 "
AE,"$102,197.51 ","$7,379.01 ","$53,563.75 ","$15,450.00 ","$1,702.00 ","$3,383.75 ",$500.00 ,$0.00 ,"$1,366.92 ",$75.00 
AP,"$60,080.21 ","$2,435.77 ","$40,373.90 ","$7,054.00 ","$6,252.24 ",$300.00 ,$130.00 ,$0.00 ,"$1,832.44 ","$1,125.00 "
AA,"$32,137.53 ",$476.75 ,"$8,799.58 ","$1,308.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$500.00 ,$0.00 
GU,"$24,745.63 ","$13,051.28 ","$6,390.69 ","$4,511.00 ","$4,400.00 ",$350.00 ,"$2,700.00 ",$0.00 ,$201.60 ,$0.00 
AS,"$12,486.55 ","$4,484.00 ",$0.00 ,$225.00 ,$350.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
MP,"$10,508.85 ","$1,256.00 ","$1,550.00 ",$0.00 ,$225.00 ,"$2,550.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
ZZ,$0.00 ,"$73,199.10 ","$441,904.28 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$8,831.00 ",$200.00 ,$0.00 
