State,"BLOOMBERG, MICHAEL R.","BIDEN, JOSEPH R JR","TRUMP, DONALD J.","STEYER, TOM","SANDERS, BERNARD","WARREN, ELIZABETH","KLOBUCHAR, AMY J.","BEHRMAN, DAN TAXATION IS THEFT","HARRIS, KAMALA D.","YANG, ANDREW MR."
NY,"$24,950.44 ","$72,372,308.55 ","$18,685,647.84 ","$136,081.02 ","$8,732,702.82 ","$5,163,715.59 ","$3,087,248.10 ",$0.00 ,"$3,289,811.56 ","$2,546,669.96 "
NJ,"$6,101.56 ","$19,430,692.98 ","$10,247,810.12 ","$13,497.00 ","$2,114,141.25 ","$1,074,274.25 ","$584,265.12 ",$0.00 ,"$337,660.73 ","$628,827.45 "
CA,"$5,581.09 ","$145,355,628.55 ","$58,688,956.98 ","$659,128.90 ","$20,392,587.88 ","$11,303,815.74 ","$4,380,098.52 ",$420.00 ,"$11,422,037.62 ","$6,054,271.96 "
FL,"$4,886.67 ","$35,874,995.39 ","$48,968,150.96 ","$61,634.27 ","$2,841,135.94 ","$1,171,034.20 ","$1,049,187.83 ",$0.00 ,"$728,455.20 ","$703,805.63 "
TX,"$3,374.91 ","$32,723,805.90 ","$53,157,851.52 ","$20,398.64 ","$3,697,746.93 ","$1,817,235.87 ","$1,007,851.95 ",$0.00 ,"$579,848.54 ","$1,210,177.69 "
CT,"$2,436.30 ","$12,470,617.83 ","$3,882,096.82 ","$37,599.93 ","$1,039,624.22 ","$628,445.72 ","$480,449.59 ",$0.00 ,"$366,578.97 ","$250,056.09 "
IL,"$1,689.42 ","$25,846,996.07 ","$11,515,122.53 ","$17,922.45 ","$3,432,348.85 ","$1,797,687.70 ","$1,161,383.92 ",$0.00 ,"$677,103.98 ","$516,669.56 "
NC,"$1,603.83 ","$14,181,622.72 ","$12,031,767.00 ","$12,580.73 ","$1,634,625.51 ","$840,332.19 ","$392,479.28 ",$0.00 ,"$271,366.54 ","$326,096.04 "
VA,"$1,469.67 ","$26,452,104.16 ","$47,874,124.70 ","$7,848.00 ","$1,833,140.29 ","$1,171,608.93 ","$817,780.51 ",$0.00 ,"$357,168.74 ","$492,006.59 "
PA,"$1,412.92 ","$26,535,798.69 ","$13,371,182.46 ","$4,603.56 ","$2,613,921.05 ","$1,442,019.01 ","$769,697.33 ",$0.00 ,"$289,927.76 ","$455,503.18 "
DC,"$1,351.94 ","$119,547,777.34 ","$745,520.21 ","$6,507.00 ","$752,697.40 ","$1,092,299.29 ","$579,716.12 ",$0.00 ,"$731,100.87 ","$90,141.23 "
CO,"$1,170.78 ","$16,615,266.93 ","$9,826,725.95 ","$18,979.00 ","$2,197,007.67 ","$1,047,552.89 ","$693,443.71 ",$0.00 ,"$375,708.66 ","$348,750.57 "
GA,"$1,116.88 ","$12,195,844.77 ","$14,961,378.32 ","$8,835.00 ","$1,168,431.51 ","$596,118.39 ","$424,544.44 ",$0.00 ,"$470,800.45 ","$352,213.76 "
MA,$977.77 ,"$34,306,893.69 ","$5,832,557.04 ","$35,901.58 ","$3,745,598.23 ","$5,141,967.83 ","$1,163,036.62 ",$0.00 ,"$716,113.63 ","$684,723.55 "
MD,$875.22 ,"$26,507,531.94 ","$6,225,599.07 ","$11,723.50 ","$1,695,095.97 ","$1,261,481.61 ","$868,311.72 ",$0.00 ,"$564,451.33 ","$403,655.60 "
HI,$856.28 ,"$2,261,599.96 ","$1,613,180.25 ",$475.00 ,"$476,662.59 ","$187,147.47 ","$42,484.05 ",$0.00 ,"$35,060.08 ","$137,582.86 "
UT,$681.43 ,"$3,154,602.70 ","$3,298,454.35 ",$350.00 ,"$529,206.66 ","$222,163.25 ","$72,578.83 ",$0.00 ,"$52,948.07 ","$126,386.25 "
AZ,$653.80 ,"$9,416,056.89 ","$13,642,491.30 ","$8,388.00 ","$1,382,282.02 ","$586,315.54 ","$313,420.05 ",$0.00 ,"$136,716.47 ","$256,884.25 "
IA,$646.29 ,"$2,794,481.64 ","$2,845,946.46 ","$2,641.02 ","$592,662.76 ","$295,300.37 ","$204,972.84 ",$0.00 ,"$57,723.12 ","$114,886.62 "
WA,$584.35 ,"$30,463,424.34 ","$9,995,076.26 ","$14,163.11 ","$5,348,581.23 ","$2,982,666.99 ","$964,591.77 ",$0.00 ,"$680,773.58 ","$1,111,903.01 "
IN,$533.93 ,"$5,023,804.91 ","$6,545,163.84 ",$826.00 ,"$830,546.88 ","$286,194.62 ","$113,776.05 ",$0.00 ,"$91,592.16 ","$133,711.00 "
OR,$271.72 ,"$12,504,685.78 ","$4,970,104.94 ","$7,319.41 ","$2,579,302.63 ","$1,354,358.09 ","$396,285.95 ",$0.00 ,"$195,376.79 ","$449,241.66 "
WI,$269.02 ,"$6,652,779.82 ","$5,985,265.97 ","$5,971.00 ","$1,218,872.26 ","$587,751.16 ","$275,716.51 ",$0.00 ,"$94,170.81 ","$192,927.55 "
MO,$265.43 ,"$6,318,654.07 ","$6,509,860.86 ","$4,020.00 ","$889,305.42 ","$382,010.24 ","$190,793.64 ",$0.00 ,"$69,316.45 ","$194,303.29 "
AL,$212.82 ,"$2,829,740.49 ","$6,159,736.22 ","$1,110.00 ","$306,101.54 ","$129,912.99 ","$64,231.72 ",$0.00 ,"$65,468.40 ","$86,837.02 "
MI,$208.57 ,"$12,065,498.58 ","$11,146,640.82 ","$2,517.00 ","$2,047,891.75 ","$864,228.82 ","$312,441.39 ",$0.00 ,"$205,760.44 ","$316,741.30 "
ID,$206.39 ,"$2,143,693.97 ","$2,920,744.40 ","$1,825.00 ","$277,197.50 ","$100,143.92 ","$47,941.93 ",$0.00 ,"$16,897.88 ","$63,941.23 "
SC,$160.74 ,"$4,855,530.59 ","$6,503,400.69 ","$7,546.71 ","$436,983.08 ","$160,753.19 ","$181,771.67 ",$0.00 ,"$108,462.91 ","$163,636.46 "
NE,$124.16 ,"$1,355,791.06 ","$2,232,107.98 ",$968.82 ,"$274,094.19 ","$102,825.85 ","$50,575.05 ",$0.00 ,"$20,980.57 ","$46,887.60 "
KY,$111.30 ,"$2,949,430.51 ","$3,899,066.67 ","$3,072.66 ","$444,037.79 ","$180,314.94 ","$80,464.15 ",$0.00 ,"$31,147.41 ","$73,490.12 "
RI,$111.04 ,"$2,671,523.73 ","$754,956.41 ","$1,500.00 ","$315,312.36 ","$221,365.52 ","$52,709.70 ",$0.00 ,"$29,586.45 ","$74,101.89 "
DE,$98.74 ,"$4,767,898.41 ","$1,090,431.18 ",$250.00 ,"$136,510.91 ","$82,761.99 ","$46,314.14 ",$0.00 ,"$17,299.99 ","$29,892.32 "
TN,$66.23 ,"$7,141,602.73 ","$9,230,037.57 ","$3,723.11 ","$813,685.28 ","$371,443.82 ","$294,701.24 ",$0.00 ,"$107,534.92 ","$131,471.62 "
AA,$0.00 ,"$29,219.77 ","$3,764.50 ",$0.00 ,"$5,075.80 ","$1,198.22 ",$0.00 ,$0.00 ,$100.00 ,"$3,586.61 "
AE,$0.00 ,"$227,805.12 ","$50,479.41 ",$0.00 ,"$45,763.27 ","$30,803.50 ","$5,525.00 ",$0.00 ,"$3,003.00 ","$13,370.24 "
AK,$0.00 ,"$1,339,121.90 ","$1,622,866.74 ",$0.00 ,"$316,511.82 ","$120,526.64 ","$37,640.65 ",$0.00 ,"$17,072.62 ","$31,937.82 "
AP,$0.00 ,"$58,681.52 ","$28,164.88 ",$0.00 ,"$23,033.10 ","$8,820.64 ","$2,225.00 ",$0.00 ,"$1,050.00 ","$20,334.95 "
AR,$0.00 ,"$2,088,712.78 ","$2,867,806.44 ",$250.00 ,"$245,959.34 ","$100,116.77 ","$91,371.98 ",$0.00 ,"$13,026.68 ","$47,341.37 "
AS,$0.00 ,"$5,322.00 ","$2,512.70 ",$0.00 ,$741.00 ,$120.00 ,$0.00 ,$0.00 ,$0.00 ,$643.35 
GU,$0.00 ,"$47,748.35 ","$231,735.86 ",$0.00 ,"$4,340.86 ","$1,805.96 ",$325.00 ,$0.00 ,$110.00 ,"$1,986.59 "
KS,$0.00 ,"$2,433,014.52 ","$3,645,137.02 ","$1,050.00 ","$382,640.54 ","$149,667.67 ","$79,587.03 ",$0.00 ,"$30,639.70 ","$72,959.77 "
LA,$0.00 ,"$3,084,111.96 ","$6,518,819.75 ",$600.00 ,"$352,725.53 ","$177,867.42 ","$62,288.58 ",$0.00 ,"$122,318.66 ","$102,153.87 "
ME,$0.00 ,"$2,866,857.71 ","$1,017,218.50 ",$523.00 ,"$564,178.30 ","$293,367.68 ","$87,984.88 ",$0.00 ,"$35,957.89 ","$65,100.65 "
MN,$0.00 ,"$10,341,386.39 ","$5,494,253.30 ","$9,233.44 ","$1,519,485.78 ","$660,727.66 ","$3,720,204.48 ",$0.00 ,"$74,901.63 ","$323,699.23 "
MP,$0.00 ,"$7,850.00 ","$6,203.27 ",$0.00 ,$227.00 ,$403.00 ,$0.00 ,$0.00 ,$250.00 ,$472.72 
MS,$0.00 ,"$926,865.00 ","$2,914,959.66 ",$0.00 ,"$108,398.82 ","$43,530.52 ","$19,602.65 ",$0.00 ,"$16,967.70 ","$23,184.95 "
MT,$0.00 ,"$1,339,384.26 ","$2,030,378.15 ",$250.00 ,"$236,617.10 ","$92,981.12 ","$74,185.32 ",$0.00 ,"$22,118.68 ","$34,840.59 "
ND,$0.00 ,"$349,513.08 ","$1,220,991.63 ","$5,360.00 ","$87,969.14 ","$17,397.30 ","$33,373.11 ",$0.00 ,"$9,163.88 ","$23,262.50 "
NH,$0.00 ,"$3,469,192.12 ","$1,842,441.63 ","$20,321.00 ","$636,300.02 ","$311,304.72 ","$305,825.25 ",$0.00 ,"$66,828.91 ","$139,981.83 "
NM,$0.00 ,"$4,607,403.32 ","$3,262,031.94 ","$1,840.36 ","$638,910.16 ","$437,863.90 ","$142,232.57 ",$0.00 ,"$93,220.27 ","$83,734.05 "
NV,$0.00 ,"$4,369,966.41 ","$6,991,306.49 ","$16,235.45 ","$653,874.06 ","$230,043.71 ","$112,709.71 ",$0.00 ,"$128,283.66 ","$228,486.68 "
OH,$0.00 ,"$13,041,428.10 ","$12,785,224.39 ","$30,600.63 ","$1,600,959.12 ","$669,982.13 ","$308,272.03 ",$0.00 ,"$170,266.88 ","$347,941.32 "
OK,$0.00 ,"$2,554,155.81 ","$5,545,682.85 ","$1,790.00 ","$424,622.77 ","$194,073.63 ","$67,020.45 ",$0.00 ,"$31,906.41 ","$81,936.02 "
OT,$0.00 ,"$220,477.34 ","$145,509.78 ",$500.00 ,"$10,965.83 ",$0.00 ,"$14,350.00 ",$0.00 ,"$16,171.64 ","$112,860.79 "
PR,$0.00 ,"$293,449.63 ","$117,050.82 ",$0.00 ,"$67,309.69 ","$15,512.71 ","$1,150.00 ",$0.00 ,"$11,932.85 ","$12,287.38 "
SD,$0.00 ,"$667,703.81 ","$1,319,401.17 ",$110.00 ,"$108,418.10 ","$35,078.26 ","$65,934.84 ",$0.00 ,"$5,994.85 ","$19,972.25 "
VI,$0.00 ,"$166,179.14 ","$16,692.39 ",$50.00 ,"$13,018.41 ","$2,344.60 ","$3,000.00 ",$0.00 ,"$1,094.07 ","$9,214.35 "
VT,$0.00 ,"$2,279,808.20 ","$339,350.86 ","$1,375.00 ","$1,026,622.04 ","$216,213.44 ","$99,404.08 ",$0.00 ,"$37,089.63 ","$28,451.94 "
WV,$0.00 ,"$1,030,307.48 ","$1,402,859.03 ","$1,486.00 ","$171,645.46 ","$49,389.32 ","$34,013.03 ",$0.00 ,"$15,376.76 ","$29,603.56 "
WY,$0.00 ,"$1,008,266.99 ","$1,461,866.98 ","$2,000.00 ","$78,319.25 ","$33,168.14 ","$64,073.55 ",$0.00 ,"$14,703.73 ","$14,798.54 "
ZZ,$0.00 ,"$2,357,132.44 ","$32,154.80 ",$0.00 ,"$452,875.57 ","$182,629.34 ","$30,917.00 ",$0.00 ,"$23,701.73 ","$13,649.16 "
