cand_id,cmte_id,cycle,total,count,support_oppose_indicator,candidate_id,committee_id,candidate_name,committee_name
P00006213,C00587022,2020,903.27,1,O,P00006213,C00587022,"DELANEY, JOHN K.",COURAGEOUS CONSERVATIVES PAC
P00006486,C00427575,2020,16.08,1,S,P00006486,C00427575,"YANG, ANDREW MR.",EASTERN WASHINGTON VOTERS
P00006486,C00432260,2020,296.38,2,O,P00006486,C00432260,"YANG, ANDREW MR.",CLUB FOR GROWTH PAC
P00006486,C00712497,2020,211201.04,119,S,P00006486,C00712497,"YANG, ANDREW MR.",HUMANITY FORWARD FUND
P00006486,C00719708,2020,476005.94,44,S,P00006486,C00719708,"YANG, ANDREW MR.",MATH PAC
P00006486,C00721050,2020,1210.86,2,S,P00006486,C00721050,"YANG, ANDREW MR.","ABUNDANCE FOR AMERICA, LLC"
P00006486,C00725994,2020,28000.00,1,S,P00006486,C00725994,"YANG, ANDREW MR.",TFY PAC
P00006486,C00740001,2020,92.99,3,S,P00006486,C00740001,"YANG, ANDREW MR.",HUMANITY FIRST FOR ILLINOIS PAC
P00006486,C90018813,2020,2550.00,1,S,P00006486,C90018813,"YANG, ANDREW MR.","MCLEAN, TED"
P00008623,C00760132,2020,159.08,1,S,P00008623,C00760132,"MCMURRAY, JENNIFER",NYIC POLITICAL ACTION FUND
P00009092,C90018045,2020,169.27,1,S,P00009092,C90018045,"CASTRO, JULIAN",UNITED WE DREAM ACTION
P00009183,C00172361,2020,876.90,2,O,P00009183,C00172361,"GABBARD, TULSI",PENNSYLVANIA PRO-LIFE FEDERATION PAC
P00009183,C00718502,2020,1134.00,2,S,P00009183,C00718502,"GABBARD, TULSI",THE PEOPLE FOR LIBERTY AND JUSTICE FOR ALL
P00009183,C90018862,2020,252.25,1,S,P00009183,C90018862,"GABBARD, TULSI","MISLOVE, ALAN EDWARD"
P00009183,C90018870,2020,79.57,6,S,P00009183,C90018870,"GABBARD, TULSI","KOROLOVA, ALEKSANDRA"
P00009290,C00587022,2020,903.27,1,O,P00009290,C00587022,"GILLIBRAND, KIRSTEN",COURAGEOUS CONSERVATIVES PAC
P00009423,C00323923,2020,1151.95,1,S,P00009423,C00323923,"HARRIS, KAMALA D.",STONEWALL DEMOCRATIC CLUB FED PAC
P00009423,C00406256,2020,32.14,1,S,P00009423,C00406256,"HARRIS, KAMALA D.",DEMOCRATIC CENTRAL COMMITTEE OF MARIN
P00009423,C00427575,2020,16.08,1,S,P00009423,C00427575,"HARRIS, KAMALA D.",EASTERN WASHINGTON VOTERS
P00009423,C00432260,2020,40.90,1,O,P00009423,C00432260,"HARRIS, KAMALA D.",CLUB FOR GROWTH PAC
P00009423,C00433318,2020,121.72,1,S,P00009423,C00433318,"HARRIS, KAMALA D.",PLACER COUNTY DEMOCRATIC CENTRAL COMMITTEE
P00009423,C00587022,2020,903.27,1,O,P00009423,C00587022,"HARRIS, KAMALA D.",COURAGEOUS CONSERVATIVES PAC
P00009423,C00681403,2020,200.15,3,O,P00009423,C00681403,"HARRIS, KAMALA D.",RURAL AND RED POLITICAL ACTION COMMITTEE
P00009423,C00687491,2020,84.00,1,S,P00009423,C00687491,"HARRIS, KAMALA D.",PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND
